Filename,Grain,Session,View
17544_TRI29935_A_Taes_R1_1of3_External_1x1_d_uc,1,1,d
17545_TRI29935_A_Taes_R1_1of3_External_1x1_l_c,1,1,l
17552_TRI29935_A_Taes_R8_2of3_Internal_1x1_d_c,2,1,d
17553_TRI29935_A_Taes_R8_2of3_Internal_1x1_l_c,2,1,l
17554_TRI29935_A_Taes_R9_3of3_External_1x1_d_c,3,1,d
17555_TRI29935_A_Taes_R9_3of3_External_1x1_l_c,3,1,l
17558_TRI29935_A_Taes_R15_1of2_External_1x1_d_c,4,1,d
17559_TRI29935_A_Taes_R15_1of2_External_1x1_l_c,4,1,l
17560_TRI29935_A_Taes_R15_2of2_External_1x1_d_c,5,1,d
17561_TRI29935_A_Taes_R15_2of2_External_1x1_l_c,5,1,l
17746_29935_MTv2_A_Taes_R1_1of3_External_1x1_d_uc,1,2,d
17747_29935_MTv2_A_Taes_R1_1of3_External_1x1_l_uc,1,2,l
17748_29935_MTv2_A_Taes_R8_2of3_Internal_1x1_d_uc,2,2,d
17749_29935_MTv2_A_Taes_R8_2of3_Internal_1x1_l_uc,2,2,l
17750_29935_MTv2_A_Taes_R9_3of3_External_1x1_d_uc,3,2,d
17751_29935_MTv2_A_Taes_R9_3of3_External_1x1_l_uc,3,2,l
17752_29935_MTv2_A_Taes_R15_1of2_External_1x1_d_uc,4,2,d
17753_29935_MTv2_A_Taes_R15_1of2_External_1x1_l_uc,4,2,l
17754_29935_MTv2_A_Taes_R15_2of2_External_1x1_d_uc,5,2,d
17755_29935_MTv2_A_Taes_R15_2of2_External_1x1_l_uc,5,2,l
217756_29935_MTv3_A_Taes_R1_1of3_External_1x1_d_uc,1,3,d
217757_29935_MTv3_A_Taes_R1_1of3_External_1x1_l_uc,1,3,l
217758_29935_MTv3_A_Taes_R8_2of3_Internal_1x1_d_uc,2,3,d
217759_29935_MTv3_A_Taes_R8_2of3_Internal_1x1_l_uc,2,3,l
217760_29935_MTv3_A_Taes_R9_3of3_External_1x1_d_uc,3,3,d
217761_29935_MTv3_A_Taes_R9_3of3_External_1x1_l_uc,3,3,l
217762_29935_MTv3_A_Taes_R15_1of2_External_1x1_d_uc,4,3,d
217763_29935_MTv3_A_Taes_R15_1of2_External_1x1_l_uc,4,3,l
217764_29935_MTv3_A_Taes_R15_2of2_External_1x1_d_uc,5,3,d
217765_29935_MTv3_A_Taes_R15_2of2_External_1x1_l_uc,5,3,l
218076_29935_MTv4_A_Taes_R1_1of3_External_1x1_d_c,1,4,d
218077_29935_MTv4_A_Taes_R1_1of3_External_1x1_l_c,1,4,l
218078_29935_MTv4_A_Taes_R8_2of3_Internal_1x1_d_c,2,4,d
218079_29935_MTv4_A_Taes_R8_2of3_Internal_1x1_l_c,2,4,l
218080_29935_MTv4_A_Taes_R9_3of3_External_1x1_d_c,3,4,d
218081_29935_MTv4_A_Taes_R9_3of3_External_1x1_l_c,3,4,l
218082_29935_MTv4_A_Taes_R15_1of2_External_1x1_d_c,4,4,d
218083_29935_MTv4_A_Taes_R15_1of2_External_1x1_l_c,4,4,l
218084_29935_MTv4_A_Taes_R15_2of2_External_1x1_d_c,5,4,d
218085_29935_MTv4_A_Taes_R15_2of2_External_1x1_l_c,5,4,l
218086_29935_MTv5_A_Taes_R1_1of3_External_1x1_d_c,1,5,d
218087_29935_MTv5_A_Taes_R1_1of3_External_1x1_l_c,1,5,l
218088_29935_MTv5_A_Taes_R8_2of3_Internal_1x1_d_c,2,5,d
218089_29935_MTv5_A_Taes_R8_2of3_Internal_1x1_l_c,2,5,l
218090_29935_MTv5_A_Taes_R9_3of3_External_1x1_d_c,3,5,d
218091_29935_MTv5_A_Taes_R9_3of3_External_1x1_l_c,3,5,l
218092_29935_MTv5_A_Taes_R15_1of2_External_1x1_d_c,4,5,d
218093_29935_MTv5_A_Taes_R15_1of2_External_1x1_l_c,4,5,l
218094_29935_MTv5_A_Taes_R15_2of2_External_1x1_d_c,5,5,d
218095_29935_MTv5_A_Taes_R15_2of2_External_1x1_l_c,5,5,l
